,age,salary,add_comp,overall_exp,job_exp,education,gender
16459,25-34,55199.99999999999,0.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man
16460,25-34,173900.0,0.0,8 - 10 years,8 - 10 years,College degree,Man
16461,35-44,41400.0,0.0,11 - 20 years,5-7 years,College degree,Woman
16462,45-54,117500.0,0.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
16463,25-34,31049.999999999996,0.0,8 - 10 years,8 - 10 years,PhD,Woman
16464,35-44,43240.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16465,18-24,22287.0,0.0,5-7 years,5-7 years,High School,Man
16466,35-44,47000.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16467,35-44,48000.0,0.0,21 - 30 years,11 - 20 years,College degree,Man
16468,25-34,78020.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16469,35-44,90240.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
16470,35-44,154912.0,0.0,11 - 20 years,8 - 10 years,College degree,Man
16471,45-54,159029.19999999998,15040.0,11 - 20 years,8 - 10 years,College degree,Woman
16472,35-44,51700.0,0.0,11 - 20 years,8 - 10 years,College degree,Man
16473,25-34,37600.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
16474,25-34,131600.0,3290.0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man
16475,25-34,70500.0,61100.0,5-7 years,2 - 4 years,College degree,Woman
16476,25-34,39100.0,0.0,5-7 years,5-7 years,College degree,Man
16477,45-54,63920.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Man
16478,35-44,53580.0,1316.0,11 - 20 years,11 - 20 years,College degree,Man
16479,35-44,41360.0,0.0,11 - 20 years,2 - 4 years,College degree,Non-binary
16480,25-34,27824.0,0.0,2 - 4 years,2 - 4 years,Some college,Woman
16481,25-34,64859.99999999999,4700.0,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
16482,35-44,29324.999999999996,0.0,11 - 20 years,8 - 10 years,College degree,Woman
16483,35-44,42347.0,0.0,11 - 20 years,2 - 4 years,College degree,Man
16484,35-44,53580.0,1316.0,11 - 20 years,11 - 20 years,College degree,Man
16485,25-34,42333.799999999996,0.0,5-7 years,2 - 4 years,College degree,Woman
16486,25-34,34780.0,0.0,2 - 4 years,1 year or less,Master's degree,Woman
16487,25-34,55460.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
16488,25-34,78020.0,0.0,11 - 20 years,2 - 4 years,College degree,Woman
16489,25-34,56400.0,61100.0,5-7 years,2 - 4 years,College degree,Woman
16490,25-34,86250.0,23000.0,5-7 years,5-7 years,College degree,Woman
16491,35-44,106690.0,1504.0,11 - 20 years,2 - 4 years,College degree,Woman
16492,35-44,68150.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Non-binary
16493,25-34,131600.0,19740.0,2 - 4 years,2 - 4 years,College degree,Woman
16494,25-34,89300.0,8930.0,8 - 10 years,2 - 4 years,Master's degree,Woman
16495,25-34,42300.0,188.0,11 - 20 years,5-7 years,College degree,Man
16496,25-34,41400.0,6899.999999999999,8 - 10 years,2 - 4 years,Some college,Woman
16497,25-34,39000.0,0.0,2 - 4 years,2 - 4 years,PhD,Woman
16498,45-54,120749.99999999999,69000.0,31 - 40 years,21 - 30 years,Master's degree,Man
16499,25-34,41400.0,3449.9999999999995,5-7 years,2 - 4 years,Master's degree,Woman
16500,25-34,63544.0,6580.0,5-7 years,5-7 years,Some college,Woman
16501,35-44,43125.0,0.0,11 - 20 years,5-7 years,Some college,Non-binary
16503,35-44,141000.0,15040.0,11 - 20 years,11 - 20 years,College degree,Man
16504,45-54,112800.0,3760.0,31 - 40 years,21 - 30 years,College degree,Woman
16505,35-44,78960.0,1034.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16506,25-34,52640.0,8460.0,5-7 years,5-7 years,Some college,Man
16507,25-34,68432.0,1880.0,11 - 20 years,11 - 20 years,High School,Man
16508,18-24,42300.0,12220.0,2 - 4 years,2 - 4 years,College degree,Man
16509,45-54,48299.99999999999,0.0,21 - 30 years,21 - 30 years,College degree,Man
16510,25-34,59799.99999999999,575.0,8 - 10 years,5-7 years,College degree,Woman
16511,18-24,65800.0,0.0,2 - 4 years,1 year or less,College degree,Woman
16512,35-44,36660.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
16513,25-34,152280.0,0.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man
16515,35-44,107489.0,9400.0,21 - 30 years,5-7 years,College degree,Man
16516,35-44,78020.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
16517,25-34,103400.0,0.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
16518,35-44,141000.0,37600.0,11 - 20 years,8 - 10 years,College degree,Woman
16519,25-34,111860.0,6580.0,2 - 4 years,2 - 4 years,College degree,Woman
16520,25-34,103499.99999999999,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
16521,25-34,30080.0,0.0,2 - 4 years,2 - 4 years,College degree,Other or prefer not to answer
16522,25-34,68150.0,0.0,8 - 10 years,2 - 4 years,College degree,Man
16523,35-44,65800.0,4700.0,11 - 20 years,11 - 20 years,High School,Man
16524,25-34,43240.0,0.0,5-7 years,2 - 4 years,College degree,Woman
16525,35-44,58750.0,4230.0,11 - 20 years,8 - 10 years,College degree,Woman
16526,35-44,64859.99999999999,0.0,11 - 20 years,2 - 4 years,College degree,Man
16527,35-44,79900.0,79900.0,11 - 20 years,8 - 10 years,PhD,Woman
16528,25-34,78020.0,0.0,5-7 years,2 - 4 years,College degree,Woman
16529,25-34,64671.99999999999,0.0,5-7 years,2 - 4 years,Master's degree,Woman
16530,25-34,62099.99999999999,0.0,8 - 10 years,8 - 10 years,College degree,Man
16531,45-54,99704.99999999999,0.0,21 - 30 years,21 - 30 years,College degree,Man
16532,25-34,59032.0,0.0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
16533,35-44,69000.0,0.0,11 - 20 years,11 - 20 years,High School,Man
16534,55-64,149500.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
16535,25-34,37600.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16536,25-34,91180.0,9118.0,11 - 20 years,8 - 10 years,College degree,Woman
16537,45-54,90240.0,0.0,31 - 40 years,11 - 20 years,Some college,Man
16538,25-34,62099.99999999999,0.0,8 - 10 years,8 - 10 years,College degree,Man
16539,35-44,149500.0,69000.0,21 - 30 years,11 - 20 years,College degree,Man
16540,35-44,65800.0,4700.0,11 - 20 years,11 - 20 years,High School,Man
16541,35-44,67774.0,22560.0,11 - 20 years,11 - 20 years,College degree,Woman
16543,35-44,234060.0,217915.5,11 - 20 years,11 - 20 years,Master's degree,Woman
16544,25-34,39104.0,0.0,11 - 20 years,5-7 years,College degree,Man
16545,35-44,75900.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Man
16546,35-44,45000.0,0.0,11 - 20 years,2 - 4 years,College degree,Man
16547,25-34,117500.0,15040.0,2 - 4 years,8 - 10 years,College degree,Man
16548,45-54,71440.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
16549,25-34,44480.799999999996,1880.0,2 - 4 years,2 - 4 years,College degree,Woman
16550,35-44,195520.0,169200.0,11 - 20 years,11 - 20 years,College degree,Man
16551,25-34,110262.0,12220.0,5-7 years,5-7 years,College degree,Woman
16552,25-34,41400.0,8280.0,8 - 10 years,8 - 10 years,College degree,Woman
16553,35-44,92590.0,0.0,11 - 20 years,11 - 20 years,Some college,Woman
16554,35-44,258499.99999999997,18800.0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
16555,25-34,39010.0,0.0,11 - 20 years,1 year or less,Some college,Woman
16556,35-44,66125.0,13799.999999999998,11 - 20 years,11 - 20 years,College degree,Man
16557,35-44,80840.0,2820.0,11 - 20 years,11 - 20 years,Some college,Man
16558,25-34,40326.0,0.0,8 - 10 years,2 - 4 years,College degree,Man
16559,25-34,63920.0,2350.0,5-7 years,2 - 4 years,College degree,Man
16560,35-44,111860.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
16561,25-34,18330.0,94.0,2 - 4 years,2 - 4 years,College degree,Woman
16562,25-34,34234.799999999996,8460.0,8 - 10 years,2 - 4 years,College degree,Man
16563,25-34,62510.0,4700.0,5-7 years,2 - 4 years,Master's degree,Woman
16564,35-44,79900.0,9400.0,11 - 20 years,5-7 years,College degree,Woman
16565,35-44,131600.0,14100.0,11 - 20 years,11 - 20 years,College degree,Woman
16566,25-34,33120.0,0.0,5-7 years,5-7 years,College degree,Non-binary
16567,25-34,63238.5,0.0,8 - 10 years,5-7 years,College degree,Non-binary
16568,25-34,61100.0,2820.0,2 - 4 years,2 - 4 years,College degree,Man
16569,35-44,43700.0,0.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
16570,25-34,77080.0,4700.0,2 - 4 years,2 - 4 years,PhD,Man
16571,25-34,125960.0,12596.0,8 - 10 years,8 - 10 years,College degree,Man
16572,45-54,188000.0,0.0,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man
16573,35-44,83660.0,5640.0,11 - 20 years,11 - 20 years,College degree,Woman
16574,25-34,54520.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
16575,45-54,161680.0,51700.0,21 - 30 years,21 - 30 years,College degree,Woman
16576,25-34,89300.0,103400.0,5-7 years,5-7 years,Master's degree,Man
16577,25-34,18800.0,376.0,2 - 4 years,2 - 4 years,High School,Non-binary
16578,25-34,58656.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
16579,35-44,75200.0,0.0,21 - 30 years,11 - 20 years,College degree,Man
16580,35-44,122200.0,12220.0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man
16581,25-34,44650.0,2350.0,5-7 years,5-7 years,College degree,Woman
16582,35-44,56546.64,0.0,8 - 10 years,2 - 4 years,College degree,Man
16583,55-64,282000.0,0.0,31 - 40 years,31 - 40 years,Master's degree,Woman
16584,25-34,61100.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
16585,25-34,76140.0,0.0,8 - 10 years,5-7 years,College degree,Woman
16586,25-34,39950.0,0.0,8 - 10 years,5-7 years,College degree,Non-binary
16587,25-34,52689.09,345.0,8 - 10 years,8 - 10 years,College degree,Woman
16588,25-34,36660.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
16589,35-44,95219.99999999999,0.0,11 - 20 years,11 - 20 years,PhD,Woman
16590,25-34,125960.0,0.0,5-7 years,5-7 years,College degree,Woman
16591,35-44,108100.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16592,25-34,42300.0,0.0,8 - 10 years,8 - 10 years,College degree,Man
16593,25-34,59339.99999999999,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16594,25-34,50760.0,4700.0,2 - 4 years,1 year or less,College degree,Woman
16595,35-44,77550.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
16596,35-44,61100.0,0.0,21 - 30 years,11 - 20 years,College degree,Man
16597,45-54,75200.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16598,25-34,47000.0,0.0,5-7 years,5-7 years,College degree,Woman
16599,25-34,40420.0,2820.0,21 - 30 years,11 - 20 years,Some college,Man
16600,25-34,43000.0,0.0,5-7 years,8 - 10 years,Master's degree,Man
16601,35-44,54520.0,1880.0,11 - 20 years,11 - 20 years,Master's degree,Non-binary
16602,35-44,67680.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
16603,18-24,59220.0,42300.0,5-7 years,2 - 4 years,Master's degree,Man
16604,35-44,51700.0,4700.0,21 - 30 years,11 - 20 years,College degree,Woman
16605,25-34,103400.0,16920.0,8 - 10 years,5-7 years,College degree,Man
16606,25-34,81966.12,0.0,8 - 10 years,5-7 years,College degree,Woman
16607,45-54,27260.0,2820.0,21 - 30 years,2 - 4 years,Master's degree,Woman
16608,45-54,86480.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16609,25-34,92120.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
16610,35-44,39347.939999999995,690.0,11 - 20 years,11 - 20 years,College degree,Woman
16611,25-34,31960.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16612,35-44,58280.0,658.0,8 - 10 years,5-7 years,Master's degree,Non-binary
16613,35-44,169200.0,103400.0,11 - 20 years,11 - 20 years,College degree,Man
16614,18-24,59220.0,42300.0,5-7 years,2 - 4 years,Master's degree,Man
16615,55-64,48299.99999999999,0.0,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man
16616,25-34,26600.0,1000.0,2 - 4 years,2 - 4 years,Master's degree,Man
16617,25-34,71440.0,0.0,5-7 years,2 - 4 years,College degree,Woman
16618,35-44,131600.0,18800.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16619,25-34,56924.99999999999,0.0,5-7 years,5-7 years,College degree,Woman
16620,35-44,47386.899999999994,1380.0,11 - 20 years,11 - 20 years,College degree,Woman
16621,45-54,169200.0,18800.0,21 - 30 years,11 - 20 years,Some college,Other or prefer not to answer
16622,25-34,101520.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
16623,35-44,169200.0,65800.0,11 - 20 years,11 - 20 years,Master's degree,Man
16624,25-34,45063.6,0.0,5-7 years,2 - 4 years,Master's degree,Woman
16625,35-44,126900.0,9400.0,11 - 20 years,5-7 years,Some college,Man
16626,45-54,101520.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
16628,55-64,188000.0,0.0,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man
16629,35-44,108100.0,11280.0,11 - 20 years,11 - 20 years,College degree,Man
16630,35-44,56400.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16631,25-34,52640.0,0.0,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Man
16632,25-34,84600.0,4700.0,8 - 10 years,8 - 10 years,College degree,Man
16633,25-34,131600.0,19740.0,2 - 4 years,2 - 4 years,College degree,Woman
16634,25-34,92120.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
16635,35-44,155100.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16636,35-44,202100.0,343100.0,11 - 20 years,11 - 20 years,College degree,Man
16637,25-34,133480.0,14100.0,2 - 4 years,2 - 4 years,Master's degree,Man
16638,25-34,51076.78,0.0,5-7 years,2 - 4 years,Master's degree,Woman
16639,35-44,122200.0,18800.0,11 - 20 years,11 - 20 years,College degree,Man
16640,25-34,37600.0,0.0,2 - 4 years,2 - 4 years,College degree,Man
16641,45-54,65499.2,6580.0,21 - 30 years,8 - 10 years,College degree,Man
16642,45-54,159800.0,32900.0,21 - 30 years,11 - 20 years,College degree,Man
16643,25-34,74832.45999999999,12220.0,2 - 4 years,2 - 4 years,College degree,Woman
16644,35-44,46000.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Non-binary
16645,25-34,69000.0,24000.0,5-7 years,5-7 years,College degree,Man
16646,35-44,108100.0,6580.0,11 - 20 years,8 - 10 years,College degree,Woman
16647,25-34,164500.0,0.0,8 - 10 years,5-7 years,College degree,Woman
16648,25-34,48880.0,0.0,8 - 10 years,2 - 4 years,College degree,Non-binary
16649,25-34,53580.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16650,35-44,136300.0,0.0,8 - 10 years,8 - 10 years,College degree,Man
16651,35-44,49444.0,9400.0,11 - 20 years,2 - 4 years,High School,Woman
16652,25-34,44871.84,3760.0,8 - 10 years,8 - 10 years,College degree,Man
16653,35-44,108100.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
16654,45-54,50400.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
16655,25-34,58280.0,0.0,8 - 10 years,5-7 years,College degree,Woman
16656,25-34,76140.0,2350.0,11 - 20 years,8 - 10 years,Master's degree,Non-binary
16657,35-44,65800.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16658,45-54,78960.0,9400.0,11 - 20 years,11 - 20 years,Some college,Man
16659,25-34,48081.0,0.0,5-7 years,2 - 4 years,College degree,Man
16660,25-34,63356.0,0.0,8 - 10 years,5-7 years,College degree,Woman
16661,25-34,122200.0,18800.0,8 - 10 years,8 - 10 years,Master's degree,Woman
16662,25-34,34000.0,1500.0,8 - 10 years,8 - 10 years,PhD,Man
16663,35-44,136300.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16664,18-24,47000.0,0.0,5-7 years,2 - 4 years,College degree,Woman
16665,25-34,33238.4,188.0,8 - 10 years,1 year or less,Some college,Woman
16666,35-44,42300.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
16667,25-34,50760.0,47.0,2 - 4 years,8 - 10 years,PhD,Woman
16669,35-44,66326.4,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
16670,25-34,34155.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
16671,45-54,146640.0,41360.0,21 - 30 years,21 - 30 years,College degree,Man
16672,35-44,108100.0,0.0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man
16673,45-54,136300.0,4700.0,21 - 30 years,11 - 20 years,College degree,Woman
16674,35-44,59799.99999999999,9200.0,21 - 30 years,11 - 20 years,College degree,Woman
16675,45-54,31624.999999999996,0.0,21 - 30 years,21 - 30 years,Some college,Man
16676,45-54,22560.0,0.0,21 - 30 years,8 - 10 years,College degree,Man
16677,35-44,58656.0,2914.0,11 - 20 years,11 - 20 years,Some college,Man
16678,25-34,64376.99999999999,6899.999999999999,5-7 years,5-7 years,College degree,Man
16679,25-34,59690.0,1880.0,8 - 10 years,2 - 4 years,College degree,Woman
16680,35-44,133480.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
16681,35-44,296100.0,56400.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
16682,18-24,44969.6,0.0,2 - 4 years,2 - 4 years,College degree,Man
16683,35-44,77550.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
16684,25-34,59220.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
16685,25-34,70335.5,6594.099999999999,11 - 20 years,8 - 10 years,College degree,Man
16686,25-34,71440.0,470.0,5-7 years,5-7 years,Master's degree,Woman
16687,25-34,80040.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Man
16688,45-54,75.19999999999999,0.0,21 - 30 years,21 - 30 years,Master's degree,Man
16689,25-34,75900.0,0.0,8 - 10 years,5-7 years,College degree,Man
16690,35-44,98700.0,1880.0,21 - 30 years,11 - 20 years,Master's degree,Woman
16691,25-34,34500.0,0.0,2 - 4 years,2 - 4 years,College degree,Man
16692,35-44,79900.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16694,25-34,192700.0,28200.0,5-7 years,5-7 years,College degree,Man
16695,35-44,60160.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16696,25-34,34500.0,0.0,2 - 4 years,2 - 4 years,College degree,Man
16697,35-44,164500.0,4700.0,21 - 30 years,11 - 20 years,Some college,Man
16698,35-44,75200.0,0.0,11 - 20 years,1 year or less,PhD,Woman
16699,35-44,94000.0,4700.0,21 - 30 years,8 - 10 years,College degree,Man
16700,35-44,75200.0,5640.0,11 - 20 years,11 - 20 years,Some college,Man
16701,25-34,32199.999999999996,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16702,35-44,125020.0,65800.0,11 - 20 years,8 - 10 years,College degree,Man
16703,25-34,93060.0,4700.0,2 - 4 years,2 - 4 years,College degree,Woman
16704,35-44,141000.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
16705,35-44,122200.0,2820.0,11 - 20 years,11 - 20 years,Some college,Man
16706,25-34,55084.0,752.0,5-7 years,2 - 4 years,Master's degree,Woman
16707,35-44,60374.99999999999,3449.9999999999995,11 - 20 years,11 - 20 years,Master's degree,Man
16709,25-34,47000.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
16710,25-34,77550.0,2020.9999999999998,5-7 years,5-7 years,Master's degree,Woman
16711,25-34,28594.8,0.0,2 - 4 years,2 - 4 years,College degree,Man
16712,18-24,39480.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16713,25-34,31020.0,0.0,11 - 20 years,1 year or less,College degree,Non-binary
16714,45-54,79900.0,0.0,21 - 30 years,21 - 30 years,Some college,Woman
16715,25-34,62980.0,0.0,5-7 years,5-7 years,College degree,Woman
16716,35-44,329.0,169.2,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man
16717,25-34,136770.0,0.0,8 - 10 years,8 - 10 years,High School,Man
16718,25-34,79900.0,0.0,5-7 years,5-7 years,College degree,Man
16719,35-44,67617.01999999999,846.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
16720,25-34,141000.0,0.0,11 - 20 years,11 - 20 years,College degree,Non-binary
16721,25-34,37148.799999999996,1128.0,2 - 4 years,2 - 4 years,College degree,Man
16723,35-44,155100.0,9400.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
16724,35-44,112800.0,47000.0,11 - 20 years,11 - 20 years,College degree,Man
16725,25-34,45590.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Man
16726,25-34,62099.99999999999,0.0,5-7 years,2 - 4 years,College degree,Woman
16727,35-44,56400.0,0.0,21 - 30 years,5-7 years,College degree,Woman
16728,35-44,31020.0,0.0,11 - 20 years,8 - 10 years,High School,Woman
16729,25-34,61100.0,1880.0,2 - 4 years,2 - 4 years,College degree,Woman
16730,25-34,123140.0,61100.0,8 - 10 years,5-7 years,Master's degree,Man
16731,25-34,70500.0,0.0,5-7 years,2 - 4 years,College degree,Man
